Date,Open,High,Low,Close,Volume
2017-09-29,176.09,177.363,175.967,177.347,63119.712103043
2017-10-02,177.446,179.15,177.011,179.15,34658.832659821
2017-10-03,179.122,179.122,179.122,179.122,0
2017-10-04,178.924,179.897,178.626,179.024,188772.81602121
2017-10-05,180.28,180.28,178.717,179.859,37556.959065683
2017-10-06,179.664,179.959,177.731,177.937,24461.120108845
2017-10-09,178.185,179.686,178.185,179.368,37613.765183544
2017-10-10,180.033,181.882,179.71,181.624,41953.346830124
2017-10-11,182.375,182.884,181.29,182.227,46466.390015173
2017-10-12,183.361,185.209,182.533,184.937,91277.287452688
2017-10-13,185.209,186.121,184.642,186.069,54167.676565158
2017-10-16,186.61,186.61,186.61,186.61,0
2017-10-17,185.728,185.728,185.728,185.728,0
2017-10-18,185.455,186.914,184.79,186.718,33178.830410554
2017-10-19,184.346,184.593,183.41,184.155,69504.313992612
2017-10-20,186.688,186.688,182.424,182.473,44653.666218436
2017-10-23,183.361,184.001,182.71,183.064,18532.995952086
2017-10-24,185.209,185.209,181.668,181.983,28323.93612338
2017-10-25,181.512,182.085,179.91,180.97,56766.55645729
2017-10-26,184.346,185.776,181.026,183.457,59555.128207278
2017-10-27,185.209,188.487,185.209,188.433,28119.028341096
2017-10-30,187.304,187.367,186.121,187.154,24789.784076468
2017-10-31,188.782,188.807,187.092,188.759,63812.543861953
2017-11-01,187.304,191.679,187.304,191.679,190813.77868435
2017-11-02,187.55,191.247,187.55,190.199,421861.50473858
2017-11-03,191.124,191.962,188.462,189.331,142407.86550222
2017-11-06,189.275,190.458,188.98,189.275,36574.010347699
2017-11-07,192.233,192.233,186.636,186.636,25579.997751711
2017-11-08,187.304,188.684,186.417,186.83,47582.224473153
2017-11-09,187.304,187.402,185.135,185.497,58421.034639986
2017-11-10,181.512,184.149,181.512,183.807,66531.122359577
2017-11-13,181.266,184.494,181.266,184.256,91225.553309636
2017-11-14,181.659,181.659,181.659,181.659,0
2017-11-15,181.537,181.537,181.537,181.537,0
2017-11-16,184.962,184.962,182.375,183.198,173109.54341606
2017-11-17,184.1,184.149,182.375,183.106,50578.74719031
2017-11-20,183.118,183.118,183.118,183.118,0
2017-11-21,183.118,183.118,183.118,183.118,0
2017-11-22,183.118,183.118,183.118,183.118,0
2017-11-23,183.118,183.118,183.118,183.118,0
2017-11-24,183.118,183.118,183.118,183.118,0
2017-11-27,183.853,183.853,183.829,183.829,84929.203781743
2017-11-28,184.593,184.943,184.593,184.943,75402.006300518
2017-11-29,186.195,186.195,184.885,184.885,115934.18578916
2017-11-30,183.361,184.473,183.361,184.473,88225.987407593
2017-12-01,184.346,184.346,181.997,181.997,81147.539364153
2017-12-04,183.361,183.361,183.001,183.001,118305.84120985
2017-12-05,184.962,185.215,184.962,185.215,54881.810618265
2017-12-06,183.361,185.25,183.361,185.25,79039.626633532
2017-12-07,186.934,186.934,186.138,186.138,80994.365724921
2017-12-08,186.688,186.688,185.726,185.726,282973.5897538
2017-12-11,187.304,187.304,186.196,186.196,70081.504725877
2017-12-12,186.688,186.688,185.844,185.844,165988.49078422
2017-12-13,186.934,186.934,186.035,186.035,362007.13001757
2017-12-14,186.441,186.441,184.94,184.94,447633.22313807
2017-12-15,182.868,184.149,182.375,183.467,48013.342331918
2017-12-18,186.195,186.986,186.195,186.986,407624.47144971
2017-12-19,186.688,186.688,186.604,186.604,168338.84391071
2017-12-20,186.688,186.688,184.198,184.198,17109.799820681
2017-12-21,187.304,187.304,185.036,185.036,18978.315340316
2017-12-22,183.853,184.026,183.853,184.026,33380.695007953
2017-12-27,186.195,186.195,185.184,185.184,27069.129555633
2017-12-28,184.962,184.962,182.769,182.769,7036.8578500066
2017-12-29,183.607,183.607,182.966,182.966,1623.03193888
2018-01-02,181.906,181.906,178.998,178.998,153877.62933529
2018-01-03,178.949,180.329,178.949,180.329,50673.085921757
2018-01-04,181.216,182.054,181.216,182.054,71469.197033619
2018-01-05,181.906,184.272,181.906,184.272,1839.0980657434
2018-01-08,183.558,184.1,183.558,184.1,64202.071527284
