Date,Open,High,Low,Close,Volume
2025-10-17,275,280,266,275,26946
2025-10-20,290,308,290,302,26181
2025-10-21,292,293,287,293,18547
2025-10-22,290,303,286,288,16218
2025-10-23,282,298,282,297,15310
2025-10-24,303,333,300,320,58550
2025-10-27,327,356,326,345,41779
2025-10-28,315,325,311,325,36218
2025-10-29,338,360,336,348,43273
2025-10-30,346,348,340,343,17415
2025-10-31,345,346,339,340,18896
2025-11-03,382,396,382,389,62600
2025-11-04,358,365,348,358,38981
2025-11-05,353,372,348,372,35904
2025-11-06,359,361,347,352,21112
2025-11-07,345,349,330,338,21215
2025-11-10,362,376,360,376,23391
2025-11-11,369,371,362,364,14942
2025-11-12,367,373,363,365,25894
2025-11-13,364,364,338,338,18908
2025-11-14,328,361,320,352,25285
2025-11-17,363,367,346,350,15518
2025-11-18,333.0,340.0,328.0,332.0,9834
2025-11-19,334.0,342.0,329.0,338.0,29283
2025-11-20,343.0,343.0,313.0,313.0,12295
2025-11-21,302.0,312.0,288.0,312.0,46070
2025-11-24,307.0,326.0,305.0,324.0,18700
2025-11-25,311.0,311.0,293.0,307.0,15245
2025-11-26,306.0,319.0,305.0,314.0,19060
2025-11-27,321.0,325.0,321.0,324.0,13052
2025-11-28,311.0,321.0,311.0,316.0,5870
2025-12-01,316.0,320.0,309.0,315.0,14530
2025-12-02,325.0,331.0,324.0,329.0,17269
2025-12-03,325.0,327.0,320.0,322.0,16935
2025-12-04,316.0,318.0,310.0,310.0,10096
2025-12-05,319.0,321.0,315.0,321.0,14684
2025-12-08,334.0,344.0,334.0,341.0,16126
2025-12-09,337.0,341.0,333.0,339.0,19954
2025-12-10,344.0,352.0,342.0,352.0,17983
2025-12-11,334.0,343.0,332.0,343.0,13783
2025-12-12,335.0,342.0,326.0,329.0,38428
2025-12-15,325.0,326.0,316.0,322.0,25199
2025-12-16,311.0,311.0,300.0,308.0,12212
2025-12-17,318.0,323.0,312.0,314.0,17257
2025-12-18,314.0,341.0,314.0,336.0,27652
2025-12-19,337.0,339.0,328.0,338.0,17300
